gene_set,gene,group,x,y,zscore,positive_mean_expression,x_plot,y_plot
PolyIC,Ccr6,IFNg,3,19,0.4741492412951207,0.2639656066894531,3.3600000000000003,27.74
PolyIC,Ccr6,Multiple,4,19,0.8514800503762127,0.29594162106513977,4.48,27.74
PolyIC,Ccr6,OTI no interaction,5,19,1.186339959635793,1.1717597246170044,5.6000000000000005,27.74
PolyIC,Ccr6,C57BL/6,6,19,-1.1334017459503802,0.0,6.720000000000001,27.74
PolyIC,Ccr2,no_treatment,0,20,0.5273135404386875,0.9357743859291077,0.0,29.2
PolyIC,Ccr2,LPS,1,20,-1.065678723820575,0.0,1.12,29.2
PolyIC,Ccr2,PolyIC,2,20,1.6709983140839078,0.5460600852966309,2.24,29.2
PolyIC,Ccr2,IFNg,3,20,0.38989411161468834,0.39523518085479736,3.3600000000000003,29.2
PolyIC,Ccr2,Multiple,4,20,0.6088302053244408,0.557354748249054,4.48,29.2
PolyIC,Ccr2,OTI no interaction,5,20,-1.065678723820575,0.0,5.6000000000000005,29.2
PolyIC,Ccr2,C57BL/6,6,20,-1.065678723820575,0.0,6.720000000000001,29.2
PolyIC,Lair1,no_treatment,0,21,-0.5863889423936832,0.588003933429718,0.0,30.66
PolyIC,Lair1,LPS,1,21,-1.0415222537651687,1.0320779085159302,1.12,30.66
PolyIC,Lair1,PolyIC,2,21,1.731025739881236,0.7401160001754761,2.24,30.66
PolyIC,Lair1,IFNg,3,21,-0.7614754057678467,0.5996716618537903,3.3600000000000003,30.66
PolyIC,Lair1,Multiple,4,21,-0.8419448294482315,0.3868292272090912,4.48,30.66
PolyIC,Lair1,OTI no interaction,5,21,1.0336619440407608,1.0560622215270996,5.6000000000000005,30.66
PolyIC,Lair1,C57BL/6,6,21,0.4666437474529323,1.3663431406021118,6.720000000000001,30.66
IFNg,Cd40lg,no_treatment,0,23,0.043294667858781055,0.6015751957893372,0.0,33.58
IFNg,Cd40lg,LPS,1,23,0.36596442671593227,0.6840822100639343,1.12,33.58
