gene,no_treatment,LPS,PolyIC,IFNg,Multiple,OTI no interaction,C57BL/6
Nfkb1,0.5149338700778895,0.6952767288089265,0.29672748059558446,0.3312827179175022,0.3700480617010784,0.21466743158818252,-2.422936290689164
Nfkb2,0.5553567619564502,0.7290791221192039,0.39855171944200163,0.36408390991591255,0.9087013069650997,-0.8971164962379359,-2.0586563241607356
Jun,-0.44292371974691014,-0.4750425595801737,-0.5134374056235961,-0.5885031682733025,-0.772128668997316,0.5374476310829591,2.254587891138339
Junb,0.7969424311386403,0.447320275156533,0.3444737338850662,0.3571810007797507,1.1131994207857288,-1.5186962284303738,-1.540420633315345
Jund,0.28576196868106796,0.5690697669191985,0.4811699969718025,0.49586162692161817,1.2125088205583332,-1.602241549945206,-1.442130630106813
Fos,1.0426296117272227,0.03760601856840288,0.522198022282561,-0.00918448394637177,0.7439415447549067,-0.0836863942654268,-2.2535043191212947
Fosb,1.539024577013994,-0.10688456821616961,0.198802073828731,0.28587540547679186,0.09159342691117113,0.10788389834076616,-2.1162948133552852
Atf3,0.5425777056127651,0.6192559690747823,0.4534029101163997,0.40833891535266503,0.8813646383227578,-0.7619360803282937,-2.143004058151076
Dusp1,1.0806825328144376,-0.635528007429512,-1.3298290910922645,0.136060873364421,-0.5252309673098685,-0.49313602370722964,1.76698068336002
Dusp2,0.7097949871298523,0.5379312379233329,0.45292027373795324,0.5099310278471669,0.8074217191560333,-0.9915225337352479,-2.0264767120590905
Dusp4,0.3029346567993886,0.6940905837733609,0.3608321376134692,0.3909876497416684,1.1619382389701567,-0.9276759918228371,-1.9831072750752083
Dusp5,0.5992644279135253,0.41734713082299446,0.49783987182764816,0.500505432968335,0.8769003850813668,-0.7324933319072107,-2.159363916706659
Gzma,-0.4371664523301291,-0.5835715994273163,-0.13067498557100857,-0.3509067066077563,-0.3363073414636141,2.4234313580982603,-0.5848042726984356
Gzmb,0.3003658993788769,0.45731815500615863,0.5326095133898692,0.5058702440872124,1.0892160630749401,-0.8055232832172765,-2.07985659171978
Gzmc,0.8542305580120816,1.213964483043076,0.7098423587416954,-0.2459127821074403,0.16387908399215867,-0.8136064994902866,-1.8823972021912863
Gzmk,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,-0.4082482904638631,2.4494897427831783,-0.4082482904638631,-0.4082482904638631
Gzmm,-0.5010222997340461,1.8082120628050067,-0.7688350652425106,0.5084889850472019,0.008354820924938142,0.4904591062969883,-1.545657610097577
Prf1,1.1669611349941647,0.11645978778490722,0.5056226585738853,0.5152671954936683,0.48338345314006087,-0.6923468837364847,-2.095347346250201
Nkg7,0.7056517479719675,0.46305674784593487,0.5226844610142913,0.41181738515480576,0.9561211691073606,-1.1754630473741368,-1.8838684637202234
Ccl3,0.5291820236406923,0.22654839638805813,0.4430315977868216,0.5583694683865407,1.1589761538724626,-0.9263014619841816,-1.9898061780903915
Ccl4,0.5511297913236055,0.3658288981087658,0.5370445802399141,0.5199486088319019,0.9905019704968653,-0.9216137475031948,-2.0428401014978563
Ccl5,0.8508072035546972,-1.6662636970060194,0.5356673220274945,0.770245172022338,1.0820216092453947,-1.1120927675365322,-0.4603848423073706
Ifng,0.41268748329503985,0.20645235328871053,0.3965795387060008,0.6370133184238627,1.1633345218604954,-0.7351514942205457,-2.0809157213535645
Tnf,0.7219969643567191,0.5642707103822324,0.44827873181085137,0.42158823155941777,0.568474193164524,-0.42776738039975265,-2.296841450873993
Fasl,0.4230019260148497,-0.0737799048853726,0.9783337241226471,0.4847990317850633,1.0019965917328422,-0.8330785950550336,-1.981272773714995
Ctsw,-0.4366391853713687,-0.25122782202972327,-0.4031518429348156,-0.5652894080569976,-0.9681350102644634,0.3419096621741072,2.282533606483259
Cx3cr1,-1.0876698731629397,1.5339730561881872,0.06415908236409622,-0.5837721832858431,0.23910893776649403,1.1516199954717667,-1.3174190153417593
Zeb2,0.28387455260738176,0.6595940764487618,0.5423908690858216,0.16240921637813233,0.6471925962608517,0.09933724832657514,-2.394798559107524
Id2,-0.5526722539907396,0.050233826221081676,-0.5349775316977198,-0.2608190006476328,0.07830292506990871,-1.0614935241225074,2.281425559167611
Slamf7,0.7748337387047225,0.4019922929452627,0.5088643134872165,0.38760823219370366,0.5496491352311382,-0.2900018010355637,-2.33294591152648
Pdcd1,0.8047889468391994,0.4543927476340754,0.2965568140428132,0.4574674106508293,0.7355393779709495,-0.4997867250126621,-2.2489585721252037
Ctla4,0.7879127899820015,0.7632052330048342,0.6141875746921817,0.05168499229615288,0.42241043753885904,-0.3829070406267148,-2.2564939868873166
Lag3,0.5817807824379633,0.45109144052786165,0.5194483171817431,0.4189556794945878,0.957347214566299,-0.8287938499559684,-2.0998295842524852
Havcr2,0.8459611716446125,-0.05569512151375086,0.5792316502098707,0.08806564223694158,0.9371024162827055,-0.15028705888800234,-2.244378699972377
Tigit,0.4728160618215103,0.4032456353153667,0.5881607192225026,0.22754230160161043,1.2249229316798214,-0.977636123982616,-1.9390515256581948
Entpd1,-0.05621115562237549,-0.4416937640231958,-1.1565068005280728,0.7013715540475572,-1.370848531933967,1.6051496346036058,0.7187390634564484
Cd160,0.640859064457631,0.455737027423393,0.45900335011510085,0.519226796926503,0.9263393178533907,-0.9811017884163351,-2.0200637683596825
Btla,0.9898993231565629,0.5090162429048318,0.32353699699315036,0.2791890619984021,0.2312390529128599,0.017565878337173817,-2.350446556302981
Tox,0.08811899326365069,0.3811295537415688,-0.05448816882308026,0.013875270866390694,-0.9015516169026631,1.9568058772820895,-1.4838899094279572
Tox2,-0.03863537173664921,1.3051983261948588,-0.37725065576874467,0.060062768629967546,-0.7612733937622124,1.4145595741704384,-1.602661247727659
Nr4a1,0.809427843541143,0.48394228607913226,0.5608149319110264,0.30919914510175756,0.6221379913025048,-0.5460361457388674,-2.239486052196695
