contrast,treatment,control,gene,total_counts,pct_treatment,pct_control,mean_norm_treatment,mean_norm_control,mean_log1p_treatment,mean_log1p_control,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_treatment_cells,n_control_cells,neglog10_padj,in_top_gene_heatmap,sig
LPS_vs_no_treatment,LPS,no_treatment,Dgke,464,0.10208126858275493,0.06752873563218384,0.16123428132182782,0.1257765330456393,0.09373300934385512,0.06821795424258215,0.02551505510127297,0.21044868984418302,2.5952054493120973,1376.3745390199022,0.09538196167677632,0.009553953458250367,True,0.04305146376657855,1009,4872,1.3660120777773272,False,False
LPS_vs_no_treatment,LPS,no_treatment,Pctp,249,0.05054509415262636,0.03858784893267648,0.08031874684398926,0.07115478257264396,0.04554378033469134,0.038656149011693675,0.0068876313229976685,0.07524778830874032,0.9587880223553954,1416.8418355421172,0.034114644036101226,0.3378291228401094,True,0.5413258283179551,1009,4872,0.2665412508909091,False,False
LPS_vs_no_treatment,LPS,no_treatment,Smim36,331,0.06442021803766104,0.049671592775041,0.10468682783343179,0.08617119458582208,0.06010969118047605,0.04796384009123561,0.01214585108924044,0.13678839532667988,1.4983053515211167,1382.2646240365143,0.054796550080996015,0.134282258699768,True,0.2933884088961432,1009,4872,0.5325570481337819,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mmd,589,0.12289395441030682,0.08825944170771748,0.1930059241587041,0.1591613213286149,0.11292212660353468,0.08840783053410965,0.024514296069425026,0.17707941567505303,2.298702942941511,1399.6953480207094,0.08288728358169122,0.021668571127595054,True,0.08118798671424445,1009,4872,1.0905082280210552,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cox11,927,0.13082259663032658,0.14532019704433619,0.22318496764049806,0.2732926834205791,0.12303369440533249,0.14867962461391154,-0.025645930208579054,-0.20794713660884395,-2.1688164802999412,1571.0826928576207,-0.06989611356298674,0.030246215368914902,True,0.10370635760252947,1009,4872,0.9841946188562556,False,False
LPS_vs_no_treatment,LPS,no_treatment,Tom1l1,479,0.0961347869177401,0.0716338259441707,0.16233014342137977,0.13276070918591656,0.09163310255768532,0.07172797519412633,0.019905127363558997,0.17253604519335938,1.9976665977571255,1385.3580525925156,0.07287262267532763,0.04594806438306151,True,0.13961628635712972,1009,4872,0.8550639179415424,False,False
LPS_vs_no_treatment,LPS,no_treatment,Utp18,3908,0.4449950445986153,0.4685960591132936,1.0393316225306681,1.1297842446048891,0.5011261212182757,0.546354265030246,-0.04522814381197027,-0.11021749897912766,-2.1397121107536896,1479.667658761193,-0.07282780030880416,0.032541213571775994,True,0.109277416285083,1009,4872,0.9614695818396687,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mbtd1,1827,0.25074331020812557,0.2479474548440146,0.5772277988310419,0.5548767237114536,0.2758136717718735,0.27446441386279663,0.001349257909076862,0.048417839921798704,0.0760297356249864,1440.7910350811362,0.0026577657294365553,0.9394059964020453,True,0.9686696098278496,1009,4872,0.013824325215279189,False,False
LPS_vs_no_treatment,LPS,no_treatment,Nme2,53043,0.9603567888999145,0.9679802955665877,15.375222788212811,14.48392290274781,2.6487494672279785,2.613590010238934,0.035159456989044546,0.08558133950320507,1.5369151462630795,1376.5388585077817,0.056478635364105655,0.12454390147186392,True,0.28010448338691235,1009,4872,0.5526799397497508,False,False
LPS_vs_no_treatment,LPS,no_treatment,Nme1,23264,0.9008919722497646,0.9217980295567262,6.346905326870867,6.452784518479235,1.7892116260024142,1.8263967358851558,-0.037185109882741596,-0.02350129338522202,-1.4812852879054326,1400.3783935169477,-0.05338367015319692,0.13875552749614709,True,0.2992999558068533,1009,4872,0.5238933472855726,False,False
LPS_vs_no_treatment,LPS,no_treatment,Spag9,2941,0.40039643211100284,0.36432676518883444,0.9393213939205587,0.8650040845900877,0.4503610054063848,0.4167460883962279,0.0336149170101569,0.1070349001339208,1.6238471538439532,1438.8322212208957,0.05684476388952357,0.10462747109667292,True,0.24891782842642668,1009,4872,0.603943996481291,False,False
LPS_vs_no_treatment,LPS,no_treatment,Tob1,302,0.08325074331020799,0.04022988505747122,0.13449590755424423,0.07686021728331295,0.07754442229736047,0.04092748100460584,0.03661694129275463,0.4069531784057667,4.104711481778541,1272.9430789287949,0.16700321183970823,4.30587170800429e-05,True,0.0004962460783897615,1009,4872,3.3043029122498186,False,False
LPS_vs_no_treatment,LPS,no_treatment,Luc7l3,7104,0.6283448959365775,0.6613300492611072,1.8167704169161405,2.111863999041914,0.8014849754367397,0.8884413225348852,-0.08695634709814548,-0.20658513413997526,-3.620631580769445,1493.7650904315794,-0.12211434950561348,0.0003037022052204952,True,0.0026147726645611405,1009,4872,2.582566063897458,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ankrd40,1029,0.16551040634291306,0.15209359605911496,0.31857506363880217,0.28148548793495903,0.16918901767272918,0.15445845202898908,0.01473056564374009,0.1338581898182344,1.0777758902508046,1403.587586752498,0.03874341871078811,0.2813189747465278,True,0.47948385068586474,1009,4872,0.31922601555509994,False,False
LPS_vs_no_treatment,LPS,no_treatment,Rsad1,418,0.062438057482656094,0.06773399014778318,0.10100197990505674,0.11824114476665296,0.058467108641289,0.06624219822582368,-0.0077750895845346835,-0.1187134047616898,-0.9475757506689412,1541.748957875397,-0.031043834878324753,0.34349397009412425,True,0.5470169125519845,1009,4872,0.26199924603502517,False,False
LPS_vs_no_treatment,LPS,no_treatment,Lrrc59,9796,0.7502477700693848,0.7649835796387964,2.5462595490806157,2.786378911911336,1.0399156487280405,1.1038426623299171,-0.06392701360187658,-0.12530613307610997,-2.624207015033977,1469.501945668596,-0.08992338310318596,0.008775081787726983,True,0.040425267052419604,1009,4872,1.393347102429375,False,False
LPS_vs_no_treatment,LPS,no_treatment,Eme1,872,0.12289395441030682,0.13587848932676577,0.21191134313130722,0.2557757429932511,0.11795046376841856,0.13810373126834433,-0.02015326749992577,-0.18983213066225355,-1.738000531821734,1552.5800248113953,-0.05658874971205757,0.08240898633527459,True,0.2109948021756594,1009,4872,0.675728243347966,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mrpl27,3625,0.4321110009910828,0.4410919540229835,0.9659609172313323,1.015824451583896,0.47839429699116653,0.504651549022802,-0.026257252031635425,-0.06595552771253364,-1.2785304175486436,1474.877243390786,-0.04365425765718121,0.2012636171062425,True,0.3856640149337247,1009,4872,0.41379088186197516,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ppp1r9b,856,0.150644202180376,0.12787356321839086,0.2906834395057144,0.2462567311337229,0.15133696054577714,0.13103934234087794,0.020297618204899198,0.17415798608321117,1.553813190075813,1396.70236320123,0.05616165674932906,0.120455532815224,True,0.27405968125014146,1009,4872,0.5621548517225945,False,False
LPS_vs_no_treatment,LPS,no_treatment,Kat7,1316,0.18434093161546,0.19683908045977475,0.35064126721103117,0.39213672740324623,0.18448820777418085,0.2060829909485889,-0.02159478317440805,-0.12707975300739677,-1.4998453860894692,1509.745179370167,-0.05008228504343456,0.13386353470749737,True,0.29269143856456775,1009,4872,0.5335899808068799,False,False
LPS_vs_no_treatment,LPS,no_treatment,Slc35b1,3349,0.4152626362735403,0.40599343185549824,0.9397763950247042,0.9457792296188959,0.4643295532841566,0.46495566991433906,-0.0006261166301824717,-0.008305013314984053,-0.030492602724573808,1464.910756147851,-0.001048131181134778,0.9756783464420775,True,0.9875672882426133,1009,4872,0.0054333038869354405,False,False
LPS_vs_no_treatment,LPS,no_treatment,Spop,10463,0.7740336967294448,0.7939244663383096,2.716862785880802,3.080774285276967,1.0896454068020913,1.178872320548624,-0.08922691374653269,-0.17528870937884736,-3.6741695522273954,1476.9146006648627,-0.12528201155346483,0.00024715013147784577,True,0.00219368563741242,1009,4872,2.658825608173774,False,False
LPS_vs_no_treatment,LPS,no_treatment,Phb,14536,0.8364717542121022,0.8417487684729662,4.099771255871811,3.984470027440417,1.405413096400866,1.386605586125958,0.0188075102749079,0.04016185602200322,0.7368599191694253,1439.5122341703702,0.025782049402108695,0.4613276126019678,True,0.6536835579273136,1009,4872,0.1846324386859756,False,False
LPS_vs_no_treatment,LPS,no_treatment,Zfp652,984,0.17145688800792788,0.1424466338259452,0.32587678803977926,0.2909406510962455,0.17265544887882703,0.14916154276080107,0.02349390611802596,0.12348649160594896,1.7025408072266048,1419.663774861247,0.0604486830919551,0.08887294388129396,True,0.22167883027614543,1009,4872,0.654275778844174,False,False
LPS_vs_no_treatment,LPS,no_treatment,Gngt2,617,0.11694747274529199,0.08641215106732339,0.25602088552125246,0.183922829511419,0.12425468740716247,0.09254786095044416,0.03170682645671831,0.3264630204203644,2.552889324049185,1335.9059545495302,0.0972770124242618,0.010793723047781242,True,0.047532949398444435,1009,4872,1.3230052370890273,False,False
LPS_vs_no_treatment,LPS,no_treatment,Snf8,2888,0.3657086223984154,0.3747947454844002,0.7670217258480448,0.8071679124455522,0.39285536046025077,0.4133647645915907,-0.020509404131339948,-0.06530146644657628,-1.0723744433204692,1475.6964449121608,-0.03659536186076544,0.28372721856866634,True,0.48216976749473023,1009,4872,0.316800023784011,False,False
LPS_vs_no_treatment,LPS,no_treatment,Ube2z,1241,0.18334985133795753,0.1876026272578037,0.33268150285508263,0.3640201232344341,0.18140158526858954,0.19435834645519537,-0.012956761186605825,-0.10088192546516797,-0.9249979855751136,1503.2823979114576,-0.03101113934957063,0.3551154139499148,True,0.5583555749694643,1009,4872,0.2530891432379325,False,False
LPS_vs_no_treatment,LPS,no_treatment,Atp5g1,27974,0.9345887016848495,0.9421182266010653,7.485030139434129,7.80307766676958,1.9648057643267418,2.0114819453054547,-0.046676180978712845,-0.05925967309842131,-1.9931555655061288,1429.8079072622095,-0.07023339662147404,0.04643418085758356,True,0.14083808558423122,1009,4872,0.8512798869379453,False,False
LPS_vs_no_treatment,LPS,no_treatment,Hoxb7,617,0.0931615460852327,0.09708538587848922,0.15879467284941312,0.17259160443916838,0.08800900109296801,0.09568897228371583,-0.007679971190747814,-0.07493320867267536,-0.7655426027993039,1503.7693769471919,-0.025657504210265962,0.4440686423176705,True,0.6393107252464174,1009,4872,0.19428800966551818,False,False
LPS_vs_no_treatment,LPS,no_treatment,Snx11,430,0.08919722497522281,0.06547619047619041,0.14190970092896177,0.11483361030114385,0.0824315640875699,0.06415195638647866,0.01827960770109123,0.1712489068176493,1.965296469550008,1381.9241655564497,0.07189585337211332,0.04957996170234109,True,0.14832920982472506,1009,4872,0.8287733168303703,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cbx1,4686,0.5133795837462877,0.5158045977011435,1.2937681953560405,1.3494369683727476,0.6091112738586337,0.626426683176094,-0.01731540931746023,-0.05650195708040454,-0.773114126722842,1474.8556632433276,-0.02639765648815423,0.43957872685617627,True,0.6354442111260272,1009,4872,0.1969225723541454,False,False
LPS_vs_no_treatment,LPS,no_treatment,Nfe2l1,1635,0.24677898909811566,0.22824302134647634,0.49452064594781536,0.48610365605470685,0.25591325163499395,0.24556660202480335,0.010346649610190606,0.020571074633864875,0.6304278774395357,1460.4841944303191,0.02173542894518456,0.5285133034457828,True,0.7046819627281294,1009,4872,0.1520068447052227,False,False
LPS_vs_no_treatment,LPS,no_treatment,Cdk5rap3,968,0.15262636273538094,0.14737274220032975,0.26526565245851086,0.28112177743907013,0.14678524216018593,0.1510683162167522,-0.004283074056566277,-0.061305949537007874,-0.33853238819122405,1493.2595378696055,-0.011421482744460932,0.7350096167398096,True,0.8504283410504629,1009,4872,0.07036227511136686,False,False
LPS_vs_no_treatment,LPS,no_treatment,D030028A08Rik,846,0.13577799801783894,0.1295155993431857,0.23751818920329554,0.24098848271794374,0.13054667400161754,0.13097576306495434,-0.00042908906333680163,-0.01475775878958697,-0.03566485390905767,1471.2223008103458,-0.001220714188764565,0.9715544333999034,True,0.9850550506975432,1009,4872,0.0065394978819930056,False,False
LPS_vs_no_treatment,LPS,no_treatment,Pnpo,627,0.08919722497522281,0.10180623973727411,0.14428793408792154,0.18455099087963886,0.08319520575708597,0.10239877591124437,-0.019203570154158398,-0.22010459579317418,-1.9676089391812037,1594.1916282085351,-0.06263671933649555,0.04928617796429178,True,0.1476572973717554,1009,4872,0.8307450848995682,False,False
LPS_vs_no_treatment,LPS,no_treatment,Sp2,607,0.09811694747274505,0.09749589490968791,0.162174758795907,0.1716455489596294,0.09372028669622484,0.09561013887244835,-0.0018898521762235054,-0.05119661299562304,-0.18637028417695325,1486.76263670116,-0.006314086283895502,0.8521798191242089,True,0.9215725015215744,1009,4872,0.03547049248815081,False,False
LPS_vs_no_treatment,LPS,no_treatment,Mrpl10,2265,0.31813676907829547,0.30439244663383036,0.6053921671951189,0.6344372132579795,0.3262590799065074,0.3285571423824857,-0.002298062475978302,-0.05821360473334251,-0.13154177245449877,1492.997834333274,-0.0044387269688691364,0.8953644671450055,True,0.9472641200387192,1009,4872,0.02352891235627278,False,False
LPS_vs_no_treatment,LPS,no_treatment,Osbpl7,286,0.06342913776015857,0.04166666666666662,0.10186644317928734,0.07486067157767236,0.05867032403386305,0.041572377064211054,0.017097946969651993,0.2071952623827678,2.150783844047974,1345.5908190366151,0.08121911202019116,0.03167090744721811,True,0.10713113333567247,1009,4872,0.970084300680525,False,False
