comparison,peptide_group,reference,gene,total_counts,pct_group,pct_reference,pct_delta,detection_log2_odds_ratio,mean_norm_group,mean_norm_reference,mean_log1p_group,mean_log1p_reference,avg_log1p_diff,log2fc_mean_norm,welch_t,welch_df,cohen_d_log1p,p_value,tested,padj_bh,n_group_cells,n_reference_cells,is_sig_0p25,is_sig_0p5,gene_program,gene_order,peptide_order,is_sig_abs0p5_fdr0p05,plot_size,x,y,gene_centered_log2fc_z,percent_detected
V4_vs_no_interaction,V4,no_interaction,Gbp2,13719,0.4938271604938288,0.583333333333316,-0.08950617283948725,-0.5106587637523249,5.414077933001953,12.785852379963536,0.9299524543579079,1.592703267596487,-0.6627508132385791,-1.224596409606527,-8.918370048702212,458.91466630231764,-0.43697880908554637,1.1299430037785184e-17,True,1.599563614100591e-16,324,2664,True,True,IFN_stress,16,9,True,40.55555555555567,9,15,0.2218754947009109,49.38271604938288
D4_vs_no_interaction,D4,no_interaction,Gbp2,13653,0.5423728813559312,0.583333333333316,-0.04096045197738485,-0.2354495355810119,7.422364797344786,12.785852379963536,1.108107131070671,1.592703267596487,-0.484596136525816,-0.776529795750569,-5.2092811842986935,292.37349308449177,-0.31600897493921964,3.584289484281742e-07,True,3.4063804224708796e-06,236,2664,True,True,IFN_stress,16,10,True,44.05084745762704,10,15,0.9045532060670888,54.23728813559312
G4_vs_no_interaction,G4,no_interaction,Gbp2,13149,0.5615384615384604,0.583333333333316,-0.02179487179485562,-0.1258671036282039,5.555595159721618,12.785852379963536,1.002036074790089,1.592703267596487,-0.590667192806398,-1.1880372148988732,-5.391185007596568,150.7116256406477,-0.3850188178716783,2.648116220980457e-07,True,2.6701838561552943e-06,130,2664,True,True,IFN_stress,16,11,True,45.43076923076915,11,15,0.27757736268350286,56.15384615384605
E1_vs_no_interaction,E1,no_interaction,Gbp2,13361,0.6184971098265905,0.583333333333316,0.0351637764932744,0.20714972149848235,6.582849919469431,12.785852379963536,1.1996619067758891,1.592703267596487,-0.3930413608205978,-0.9472525922374248,-3.9297614629168067,207.56015173034575,-0.2565169831699012,0.00011579898854241431,True,0.0007971745268431517,173,2664,True,True,IFN_stress,16,12,True,49.53179190751451,12,15,0.6444386508211855,61.84971098265905
CATNB_vs_no_interaction,CATNB,no_interaction,Gbp2,13439,0.5902777777777767,0.583333333333316,0.006944444444460629,0.04046198072837444,8.377306606839497,12.785852379963536,1.2494935671424099,1.592703267596487,-0.34320970045407706,-0.6041101000098629,-2.874974302574933,162.8894667256291,-0.22277817896184543,0.004580617540954528,True,0.02320726933835165,144,2664,True,True,IFN_stress,16,13,True,47.49999999999992,13,15,1.1672531699625417,59.027777777777665
LCMV_vs_no_interaction,LCMV,no_interaction,Gbp2,13222,0.6377952755905503,0.583333333333316,0.05446194225723422,0.32370814784535773,8.288829755091118,12.785852379963536,1.3538428700053196,1.592703267596487,-0.2388603975911674,-0.6192464991717602,-1.9381298165542975,142.3459566624964,-0.15511431805713047,0.05458666936129334,True,0.18367871136382846,127,2664,False,False,IFN_stress,16,14,False,50.92125984251962,14,15,1.1441912367172968,63.779527559055026
TB_vs_no_interaction,TB,no_interaction,Gbp2,13510,0.6257668711656442,0.583333333333316,0.04243353783232817,0.25078249636099204,9.484699726935629,12.785852379963536,1.4001272192208638,1.592703267596487,-0.19257604837562314,-0.42698283206133303,-1.690590998593679,186.9848553800798,-0.12501230313054548,0.09258119387620542,True,0.24326988290950724,163,2664,False,False,IFN_stress,16,15,False,50.05521472392638,15,15,1.4371256267899524,62.57668711656442
MCMV_vs_no_interaction,MCMV,no_interaction,Gbp2,13001,0.5584415584415585,0.583333333333316,-0.024891774891757534,-0.14363411405487775,7.512608777208656,12.785852379963536,1.0883332051718748,1.592703267596487,-0.5043700624246121,-0.7593251294145822,-3.2302931220699236,81.93480167475975,-0.32684793446013793,0.001780880501547455,True,0.016055969876156186,77,2664,True,True,IFN_stress,16,16,True,45.20779220779221,16,15,0.930766366958487,55.84415584415585
multi_peptide_vs_no_interaction,multi_peptide,no_interaction,Gbp4,10004,0.2626532346158464,0.4977477477477355,-0.23509451313188912,-1.4419680437676359,0.6540953819624649,4.742151528308345,0.24801296779655832,1.046274712964471,-0.7982617451679126,-2.682829307323103,-34.00784771823572,3039.2938061872824,-1.0693619974494013,4.1793794261453484e-215,True,7.975306948163019e-214,8239,2664,True,True,IFN_stress,17,0,True,23.91103289234094,0,14,-2.1233140494845046,26.26532346158464
N4_vs_no_interaction,N4,no_interaction,Gbp4,4847,0.2618025751072955,0.4977477477477355,-0.23594517264044002,-1.4481173886092984,0.9600403568339059,4.742151528308345,0.3179155532470271,1.046274712964471,-0.7283591597174439,-2.1915290364235416,-19.13545579705768,1063.5467148053453,-0.6558198410398594,2.2614628590960653e-70,True,3.765930782199974e-68,466,2664,True,True,IFN_stress,17,1,True,23.849785407725275,1,14,-1.3134678279615088,26.18025751072955
