gene,N4,A2,Y3,Q4,T4,V4,G4,D4,Q4R7,Q4H7,Q7,E1,CATNB,LCMV,TB,MCMV,multi_peptide,no_interaction
Cd160,0.731154686345736,0.651066696120774,0.44355971743138445,1.1501723934082633,0.7121521056799609,0.30347518485175234,0.7656231615090899,-0.2576208067885323,-0.021430848395820653,-0.03602272490603627,0.603892468765659,-0.8031469315312544,-0.6070631080057016,-1.2193305784098503,-1.083543436315483,0.46454833339372364,1.1503965838957282,-2.947882897049399
Btla,1.7497976401278261,-0.022858017774472387,1.9122879412026181,0.6710111508491778,0.10560701369802646,0.10189148936827208,0.7573365364693249,-0.9334903646891772,-0.42383520346005366,0.5451272087959431,0.22633044356539264,-0.8448416652611604,-0.4354439947869896,0.4084255798783279,-0.6298268056103177,-2.680648459098891,-0.08780858303168586,-0.4190619102421635
Tox,0.571573991080319,-0.41042849575937723,-0.2101012918684195,-0.5252677215435724,-0.9428587666733805,-0.11812939673882598,0.6103080930763556,-0.7222435040413386,-0.7996233498203585,1.2118463052123465,-0.7622922862010183,-0.41858277696272733,-0.8258601111854617,1.7656564497293636,1.1179119572871092,-0.01885134669295865,-1.6798715054840376,2.1568137565859886
Tox2,-1.4308238048940989,-1.4308238048940989,-0.8262680866990584,-0.6033935746533357,-0.7053978282601635,1.5062209074884274,-1.4308238048940989,-0.3090768185239233,1.1056937521809154,0.6654646170309422,-0.13143371944134022,0.07920515486197416,0.5408302761860377,2.035310478261188,0.05386071595518051,1.1629036259494734,-0.6048481591545255,0.3234000735005054
Nr4a1,0.021267353049673875,0.35395516686405987,0.9432902856503991,1.0220775278923628,0.16701489898440333,0.6144605082223704,1.1962400403979894,-0.536410596583572,1.5726800757011732,0.3386841443304739,0.5922000585939888,-0.6875286972964711,-1.672794959445199,-0.32920067170408346,-0.6589717132092062,-1.6185280285214465,0.6776793190511794,-1.9961147119780864
Nr4a2,1.2805965118925762,0.8259220311279558,0.44805136309253996,0.8910492629386579,-0.356437546337789,-0.285631674881226,0.6266483872956935,0.8986183300730257,0.1715674223172573,-1.6458257048078253,-0.5200307048134223,1.528123694424467,-1.1887354938783823,0.904682853827749,-2.010320651125087,-0.8123325833209081,0.21870781963135918,-0.9746533174566415
Nr4a3,-0.5305213278393683,-1.0071010565891616,0.7895329833962227,0.5608714482536972,1.6764225488982207,1.2251145118271751,0.8984339085835419,-1.672090852169065,0.6016780163927342,1.54339655763693,-0.464702009024872,-1.0859703684745912,-0.7738213442870681,-0.3698820897105706,0.05551205031883115,-0.39219852810408035,0.536602262110617,-1.591276711219181
Batf,0.5957520867477161,0.22582159554828238,0.39651405331190626,0.7028758767822262,-0.7147439969554144,1.0997069443778216,2.21380015845073,-0.5168341299740365,0.3153905608441626,0.4692578075961994,0.030928581297245527,-0.33842581310931896,-0.3252894997048004,-0.3660592695502718,-1.1005557333371554,-1.9161156710031564,1.0629318811386101,-1.8349554324607433
Prdm1,0.3687736691361996,-1.0495670260096555,-0.9264305071153319,-0.4430307084670112,1.897269302529475,-0.37174375046152225,-0.6839395126630347,1.1473890879502482,1.2292732395111903,0.0610847828095585,-0.4703121685007005,-0.6849052452912598,1.8883975784639446,0.8628952136857563,-1.0033233868157565,-1.495803964639202,-0.5947341677274585,0.26870756360455933
Eomes,-1.7887272849134195,-1.9120884269872591,-0.4861371962633072,-1.0081012661812327,0.006029091848652111,1.1556769400799793,0.759751600718509,-0.3945123156701406,-0.5161064979986061,0.5908293356409913,0.0907645040377196,0.7076917499781467,1.8056659210378163,0.830320887619849,1.3852294703549601,-0.8766926424525919,-0.1614707757083934,-0.18812309514167092
Slamf6,-0.49786134045886077,-0.6455833891038771,0.10113470184176887,-0.6625986338791987,-0.9972907112105418,-0.6587241321566806,-0.8846268588880648,-0.12682597956636552,-0.4315789729184738,-0.5633196548829622,-0.08044449478427548,0.4424916263926914,1.2277986363961162,0.6296613155256953,1.7081308484421243,0.09945464993772936,-1.3576496834907203,2.697832072803892
Lair1,-0.3951187491211014,-0.32664801011021016,0.007479326342752021,0.21398268834485873,0.5510380915394095,-0.5409054317520328,-0.7779061357737542,-0.7779061357737542,-0.3821625388067622,-0.4087331097991113,-0.30669609147862686,-0.5967824299621539,-0.5629957372849578,1.2279121306797878,-0.21723520963126372,3.625887848849461,-0.3199293723538389,-0.013281133908701809
Il10,-0.5942424697865438,2.580440185703404,-0.5942424697865438,0.08485815638799336,-0.5942424697865438,0.5136647643922468,-0.5942424697865438,-0.5942424697865438,1.3313044174900606,-0.5942424697865438,-0.5942424697865438,-0.5942424697865438,-0.5942424697865438,-0.5942424697865438,-0.5942424697865438,-0.5942424697865438,2.2121338701493376,0.40850824331548413
Ahr,0.7742775006009988,-0.3167318237193584,-0.16053413764460323,-0.23654624778073155,-0.20767105642552033,0.32470775115326006,-0.6079986113408119,-0.2534050099092947,-0.7003688266479202,1.0062694183210823,-0.8750527410857102,-0.07539629619168187,-0.46169419813554663,-1.466501453845792,3.44506482193853,0.20202229349323605,-0.11705512720391156,-0.2733862555762236
Il2,2.378722794804704,0.9741600381709228,0.990601340582086,1.031728142428599,-0.6418561794802162,-0.5537145408797498,-0.4435106282723696,-0.29828539199034665,0.9261907266225264,-0.682195065544429,-1.1700400910856994,-0.42531302902918017,-0.005540071253304038,-0.7923588396422416,-1.7325163541428512,0.23617687782427835,1.0426884839506136,-0.8349382130633437
