gene,no_treatment,LPS,PolyIC,IFNg
Tnf,-0.5776114913250499,1.7311360116462526,-0.5308075825987529,-0.6227169377224498
Tnfsf15,-0.7461474274934023,-0.7461474274934023,-0.19540874867982816,1.6877036036666329
Il10,-0.5829827040123551,1.5551602938724363,0.1340091788095785,-1.1061867686696596
Il18,1.2965667721580199,-0.7389816202503009,0.620476618852122,-1.178061770759841
Csf2,-0.5773502691896257,-0.5773502691896257,-0.5773502691896257,1.7320508075688772
Csf3,-0.4887951942020919,1.7287049577171105,-0.6645099962747405,-0.5753997672402781
Nos2,-0.7185322497631,1.709804411215063,-0.6813374975286913,-0.3099346639232716
Ptgs2,-0.5185299291400519,-0.9432807408895144,-0.21061018236843992,1.6724208523980062
Ccl2,-0.17487712429518817,1.496917981800292,-0.007277921068995436,-1.3147629364361084
Ccl3,-0.6265164637415375,1.7312190842255786,-0.543032962164325,-0.5616696583197162
Ccl4,-0.48710718279090043,1.711701448023408,-0.40859491357101735,-0.8159993516614903
Ccl5,-0.9409289084118063,1.653981966267732,-0.606300539702954,-0.10675251815297165
Ccl7,-0.4839747331340934,1.691800890928495,-0.30882310158931114,-0.8990030562050904
Ccl8,-1.1375469840696353,0.5936525750204356,-0.778208239947359,1.3221026489965586
Ccl19,-0.0013241726613387917,-0.8160549514285378,1.6334340755184142,-0.8160549514285378
Ccl22,-0.20664785304923494,-1.2622817601882625,1.5360458438205815,-0.06711623058308407
Cxcl2,-0.5224032668375854,1.7290901618911743,-0.6715175170163612,-0.5351693780372277
Cxcl3,-0.5773502691896257,-0.5773502691896257,1.7320508075688774,-0.5773502691896257
Cxcl9,0.05640160924081254,-1.451270193829617,0.020011049837957966,1.3748575347508465
Cxcl10,0.6904727308365759,-1.6779306145732267,0.8255871379191112,0.16187074581753952
Cxcl11,0.6472111758194378,-1.7211471087769592,0.6820560945155935,0.3918798384419279
Cxcl16,1.1594013202807285,-1.1862928881419421,0.8034255886927719,-0.7765340208315583
Ccr7,0.7626211293118795,1.1285134845346987,-0.5232692696876763,-1.367865344158902
Xcr1,1.017586203845432,-1.1915166483418855,0.9615166771970467,-0.7875862327005931
Fscn1,-0.9969378074413474,-0.9969378074413474,1.107527211038969,0.8863484038437259
Stat1,0.5432929477099443,-1.684270001105994,0.24097902899356535,0.8999980244024841
Stat2,0.38111288723486775,-0.8693717976283527,-0.976474342700559,1.464733253094044
Irf1,0.9686699377844035,-1.6693026703852112,0.4721031334011967,0.22852959919961094
Irf3,-0.2982235152331218,1.6965862271493184,-0.5334273638939089,-0.8649353480222877
Irf5,0.4153218647739165,-1.7207150746601834,0.5671932007146151,0.7382000091716517
Irf7,-0.5763370484354731,-1.2790196873694302,0.533489366677291,1.3218673691276124
Irf8,-1.1312810415730652,0.7995614552398674,-0.8405908370914214,1.172310423424619
Irf9,0.6054184743835439,-0.7948801217825958,-1.1266794687395887,1.3161411161386405
Isg15,0.6918615570172768,-1.5129986350668903,1.0795340335510295,-0.2583969555014161
Ifit1,0.9646656091808807,-0.5919787523016332,0.9646417305962816,-1.337328587475529
Ifit2,0.5312254450970466,-0.7748624079625532,1.3643377549997178,-1.1207007921342111
Ifit3,-0.7064078171271103,0.08513451342210564,1.5953058410949756,-0.9740325373899709
