gene_id	gene_name	gene_biotype	chrom	strand	reference_count	test_count	reference_cpm	test_cpm	log2_fc	pvalue	fdr	neg_log10_fdr	significant	comparison	reference	test
ENSG00000244588	RAD21L1	protein_coding	20	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000125775	SDCBP2	protein_coding	20	-	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000250974	LINC02196	lncRNA	5	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000223855	PDGFA-DT	lncRNA	7	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000178896	EXOSC4	protein_coding	8	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000213213	CCDC183	protein_coding	9	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000137103	TMEM8B	protein_coding	9	+	7	23	1.9433372820096104	2.4177992917530022	0.2560276180417265	0.687952302132584	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000267734	ENSG00000267734	lncRNA	1	-	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000181773	GPR3	protein_coding	1	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000116525	TRIM62	protein_coding	1	-	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000289523	ENSG00000289523	lncRNA	14	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000267169	ADGRL1-AS1	lncRNA	19	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000272977	ENSG00000272977	lncRNA	22	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000273066	ENSG00000273066	lncRNA	9	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000147231	RADX	protein_coding	X	+	7	24	1.9433372820096104	2.522921000090089	0.30709024741600993	0.6882643836428013	0.7483995459346446	0.1258664846649968	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000302531	ENSG00000302531	lncRNA	17	-	133	368	36.9234083581826	38.684788668048036	0.06635275744229306	0.6888775393905076	0.7490040079158636	0.12551585838720045	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000144233	AMMECR1L	protein_coding	2	-	80	201	22.209568937252694	21.129463375754497	-0.07030244905840594	0.6889950840064004	0.7490695452417685	0.1254778595867312	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000267858	MZF1-AS1	lncRNA	19	+	32	93	8.883827574901076	9.776318875349096	0.1310751534165655	0.689403771331518	0.7494515732227606	0.12525642440556822	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000081019	RSBN1	protein_coding	1	-	372	958	103.27449555822501	100.70659658692941	-0.036148591983945245	0.6896416913822437	0.7496479118490609	0.12514266440054742	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000136870	ZNF189	protein_coding	9	+	57	141	15.824317867792542	14.822160875529274	-0.0914029341370964	0.6906682905206973	0.7507014492280806	0.1245327457279252	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000275832	ARHGAP23	protein_coding	17	+	21	50	5.830011846028833	5.256085416854353	-0.13712019855986854	0.6907870676842297	0.7507681632995201	0.12449415213552904	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000145685	LHFPL2	protein_coding	5	-	37	90	10.27192563347937	9.460953750337836	-0.11292038452331717	0.6910362136808721	0.7509765432823037	0.12437362795209603	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000132429	POPDC3	protein_coding	6	-	57	142	15.824317867792542	14.927282583866363	-0.08153874532124354	0.6920224999168345	0.751845411279897	0.1238714465489616	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000223572	CKMT1A	protein_coding	15	+	10	22	2.7761961171565868	2.312677583415915	-0.22007753474569502	0.6920656538081009	0.751845411279897	0.1238714465489616	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000232874	LINC02924	lncRNA	3	-	10	22	2.7761961171565868	2.312677583415915	-0.22007753474569502	0.6920656538081009	0.751845411279897	0.1238714465489616	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000288783	ENSG00000288783	lncRNA	X	-	10	22	2.7761961171565868	2.312677583415915	-0.22007753474569502	0.6920656538081009	0.751845411279897	0.1238714465489616	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000175193	PARL	protein_coding	3	-	137	378	38.033886805045235	39.73600575141891	0.06235938124935148	0.6930003732801813	0.7527983458603746	0.12332134386414283	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000196150	ZNF250	protein_coding	8	-	37	91	10.27192563347937	9.566075458674922	-0.09777485708878926	0.693134538974729	0.7528815620154007	0.12327333855201669	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000198464	ZNF480	protein_coding	19	+	83	208	23.04242777239967	21.865315334114108	-0.07400000409418553	0.6936638967442879	0.7533939856692922	0.12297785108399151	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000134461	ANKRD16	protein_coding	10	-	18	54	4.997153010881856	5.6765722502027005	0.16812178561263097	0.6939560300843903	0.7536486942464153	0.12283104896343379	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000198690	FAN1	protein_coding	15	+	18	55	4.997153010881856	5.781693958539789	0.19246902048424988	0.6942877424109818	0.7539463404512778	0.12265956245275195	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000162433	AK4	protein_coding	1	+	83	209	23.04242777239967	21.970437042451195	-0.06723491876984843	0.6946379302616861	0.7542639986570524	0.12247662085056045	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000290993	ENSG00000290993	lncRNA	3	-	53	150	14.71383942092991	15.768256250563057	0.09667533792132044	0.6949602530096675	0.7545513496610319	0.12231119973783709	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000076382	SPAG5	protein_coding	17	-	317	861	88.0054169138638	90.50979087823195	0.04025600243829336	0.695308066487139	0.7548663271623323	0.12212994706692379	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000229728	ENSG00000229728	lncRNA	20	+	22	52	6.107631457744491	5.466328833528527	-0.14728972849774444	0.696098968405934	0.755662254689154	0.12167227023904045	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000185201	IFITM2	protein_coding	11	+	59	147	16.37955709122386	15.4528911255518	-0.08145914336892267	0.6967941955564854	0.7562914345596904	0.12131081821360552	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000294017	ENSG00000294017	lncRNA	7	-	59	147	16.37955709122386	15.4528911255518	-0.08145914336892267	0.6967941955564854	0.7562914345596904	0.12131081821360552	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000141644	MBD1	protein_coding	18	-	150	381	41.6429417573488	40.05137087643017	-0.055540337045420836	0.6973517611381173	0.7568338064791382	0.1209994769769981	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000141298	SSH2	protein_coding	17	-	79	222	21.931949325537037	23.337019250833325	0.0876488469335142	0.6984381691097834	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
ENSG00000226824	ENSG00000226824	lncRNA	7	+	39	95	10.827164856910688	9.98656229202327	-0.11124499496665094	0.6986979460259866	0.7578962986689879	0.120390213888839	False	Index_4_vs_3	Index 4 ABCD4_2	Index 3 ABCD4_1
