ID,gene,UMI_count
00109_3,ABL1_ENST00000372348.2,35
00110_1,ABL2_P1,40
00110_2,ABL2_P1,113
00110_3,ABL2_P1,169
00111_1,ABL2_P2,65
00111_2,ABL2_P2,119
00111_3,ABL2_P2,42
00112_1,ABLIM1_ENST00000277895.5,135
00112_2,ABLIM1_ENST00000277895.5,130
00112_3,ABLIM1_ENST00000277895.5,96
00113_1,ABLIM2_P1P2,311
00113_2,ABLIM2_P1P2,225
00113_3,ABLIM2_P1P2,57
00114_1,ABLIM3_P1P2,23
00114_2,ABLIM3_P1P2,187
00114_3,ABLIM3_P1P2,58
00115_1,ABO_P1,35
00115_2,ABO_P1,112
00115_3,ABO_P1,118
00116_1,ABO_P2,120
00116_2,ABO_P2,203
00116_3,ABO_P2,175
00117_1,ABR_P1P2,141
00117_2,ABR_P1P2,68
00117_3,ABR_P1P2,63
00118_1,ABRA_P1P2,61
00118_2,ABRA_P1P2,186
00118_3,ABRA_P1P2,41
00119_1,ABRACL_P1P2,34
00119_2,ABRACL_P1P2,250
00119_3,ABRACL_P1P2,123
00120_1,ABT1_P1P2,41
00120_2,ABT1_P1P2,20
00120_3,ABT1_P1P2,20
00121_1,ABTB1_P1P2,116
00121_2,ABTB1_P1P2,89
00121_3,ABTB1_P1P2,43
00122_1,ABTB2_P1P2,56
00122_2,ABTB2_P1P2,62
00122_3,ABTB2_P1P2,25
00123_1,ACAA1_P1P2,195
00123_2,ACAA1_P1P2,212
00123_3,ACAA1_P1P2,226
00124_1,ACAA2_P1P2,58
00124_2,ACAA2_P1P2,60
00124_3,ACAA2_P1P2,100
00125_1,ACACA_P1P2,45
00125_2,ACACA_P1P2,77
00125_3,ACACA_P1P2,52
00126_1,ACACB_P1,81
00126_2,ACACB_P1,147
00126_3,ACACB_P1,74
00127_1,ACACB_P2,190
00127_2,ACACB_P2,79
00127_3,ACACB_P2,218
00128_1,ACAD10_P1P2,272
00128_2,ACAD10_P1P2,178
00128_3,ACAD10_P1P2,101
00129_1,ACAD11_P1P2,102
00129_2,ACAD11_P1P2,18
00129_3,ACAD11_P1P2,25
00130_1,ACAD8_P1P2,49
00130_2,ACAD8_P1P2,72
00130_3,ACAD8_P1P2,159
00131_1,ACAD9_P1P2,108
00131_2,ACAD9_P1P2,237
00131_3,ACAD9_P1P2,82
00132_1,ACADL_P1P2,52
00132_2,ACADL_P1P2,133
00132_3,ACADL_P1P2,76
00133_1,ACADM_P1P2,22
00133_2,ACADM_P1P2,14
00133_3,ACADM_P1P2,4
00134_1,ACADS_P1P2,93
00134_2,ACADS_P1P2,51
00134_3,ACADS_P1P2,51
00135_1,ACADSB_P1P2,87
00135_2,ACADSB_P1P2,64
00135_3,ACADSB_P1P2,95
00136_1,ACADVL_P1P2,76
00136_2,ACADVL_P1P2,102
00136_3,ACADVL_P1P2,154
00137_1,ACAN_P1P2,113
00137_2,ACAN_P1P2,60
00137_3,ACAN_P1P2,145
00138_1,ACAP1_P1P2,90
00138_2,ACAP1_P1P2,33
00138_3,ACAP1_P1P2,108
00139_1,ACAP2_P1P2,106
00139_2,ACAP2_P1P2,133
00139_3,ACAP2_P1P2,125
00140_1,ACAP3_P1P2,15
