Gene	GeneID	Transcript	MLE_sgRNA	MLE_beta	MLE_z	MLE_p-value	MLE_fdr	MLE_S_sgRNA	MLE_B_beta	MLE_B_z	MLE_B_p-value	MLE_B_fdr	MLE_C_beta	MLE_C_z	MLE_C_p-value	MLE_C_fdr	B_lfc	B_neg_p-value	B_neg_fdr	B_neg_rank	B_neg_goodsgrna	B_pos_p-value	B_pos_fdr	B_pos_rank	B_pos_goodsgrna	C_lfc	C_neg_p-value	C_neg_fdr	C_neg_rank	C_neg_goodsgrna	C_pos_p-value	C_pos_fdr	C_pos_rank	C_pos_goodsgrna	DepMap	Surfaceome
RELL2	285613	P1P2	3	0.79967	1.2184	0.0	0.0	3	0.9197	1.0544	0.00035831	0.037559	0.66458	0.76193	0.0032696	0.1759	1.4202	1.0	1.0	22500.0	0.0	2.1998e-07	0.000236	5.0	3.0	0.90534	0.99998	1.0	22436.0	0.0	8.0734e-05	0.025955	70.0	3.0	-0.2662624321001686	nonsurface
SLC2A8	29988	P1P2	3	0.71951	1.3088	0.0	0.0	3	0.74087	1.0489	0.00053747	0.047431	0.70318	0.99544	0.0028217	0.16845	0.96675	0.99998	1.0	22425.0	0.0	0.00010141	0.026159	87.0	3.0	1.0446	0.99998	1.0	22433.0	0.0	9.5253e-05	0.029364	73.0	3.0	0.3137443373818336	surface
SLC35A3	23443	P1P2	3	0.77657	1.2455	0.0	0.0	3	0.82861	1.0734	0.0004031	0.038298	0.71695	0.92877	0.002553	0.16147	1.0238	1.0	1.0	22459.0	0.0	9.8992e-06	0.004368	50.0	3.0	1.1159	0.99993	1.0	22415.0	0.0	0.00020304	0.049132	93.0	3.0	-0.013048354295439	nonsurface
SMARCA4	6597	P1P2	3	0.73494	1.2639	0.0	0.0	3	0.72043	0.94391	0.00058225	0.047445	0.75694	0.99162	0.0021947	0.14583	0.84861	0.99994	1.0	22410.0	0.0	6.2255e-05	0.017512	80.0	3.0	1.0648	0.99999	1.0	22448.0	0.0	4.5096e-05	0.017804	57.0	3.0	-0.4454671978203501	
SMARCB1	6598	P1	3	0.95541	1.1055	0.0	0.0	3	0.88885	0.78019	0.0004031	0.038298	1.0192	0.89397	0.00062704	0.0625	1.2623	0.99999	1.0	22439.0	0.0	4.8176e-05	0.01527	71.0	3.0	1.5143	1.0	1.0	22467.0	0.0	1.6939e-05	0.010025	38.0	3.0	-0.5603034747513362	
SMARCC1	6599	P1P2	3	1.0681	1.0535	0.0	0.0	3	0.94737	0.8232	0.00026873	0.030928	1.1888	1.033	0.00031352	0.043011	1.2355	1.0	1.0	22489.0	0.0	2.1998e-07	0.000236	16.0	3.0	1.5643	1.0	1.0	22500.0	0.0	2.1998e-07	0.000825	5.0	3.0	-0.0141638332825373	
SMARCE1	6605	P1P2	3	1.1414	1.0125	0.0	0.0	3	1.1147	0.82714	8.9578e-05	0.011696	1.1686	0.86682	0.00035831	0.043011	1.3694	1.0	1.0	22468.0	0.0	4.6196e-06	0.002666	38.0	3.0	1.6798	1.0	1.0	22479.0	0.0	6.3795e-06	0.005522	26.0	3.0	-0.4779289323297921	
SRF	6722	P1P2	3	0.67863	1.2954	0.0	0.0	3	0.55024	0.97409	0.0019707	0.1068	0.79616	1.4094	0.0018811	0.1377	0.88984	0.99995	1.0	22413.0	0.0	0.00015861	0.03534	101.0	3.0	1.1077	1.0	1.0	22502.0	0.0	2.1998e-07	0.000825	3.0	3.0	-0.404693681861756	
STIM1	6786	P1P2	3	0.61317	1.3824	0.00026873	0.021505	3	0.60404	1.1883	0.0012093	0.079882	0.62227	1.2242	0.0036279	0.17802	0.87116	0.99999	1.0	22450.0	0.0	2.8818e-05	0.010809	60.0	3.0	0.89782	1.0	1.0	22474.0	0.0	1.1219e-05	0.007651	31.0	3.0	0.0893020541220232	surface
TCERG1	10915	P1P2	3	0.73568	1.2952	0.0	0.0	3	0.78131	1.1057	0.00049268	0.044715	0.69412	0.98233	0.0029113	0.16971	1.2004	1.0	1.0	22477.0	0.0	1.5399e-06	0.001195	28.0	3.0	1.0618	0.99999	1.0	22461.0	0.0	2.0898e-05	0.010689	44.0	3.0	-0.3503681455871898	
TEX22	647310	P1P2	3	0.63481	1.2786	0.00013437	0.012712	3	0.73019	1.1653	0.00058225	0.047445	0.55291	0.88239	0.0053299	0.22326	0.87425	0.99998	1.0	22428.0	0.0	7.6774e-05	0.020326	85.0	3.0	0.79026	0.99999	1.0	22449.0	0.0	4.4657e-05	0.017804	56.0	3.0	-0.1655274970211869	
TMEM186	25880	P1P2	3	0.51035	1.4594	0.0014332	0.074766	3	0.45822	1.2304	0.0049268	0.17629	0.55963	1.5026	0.0051955	0.2197	0.67978	0.99997	1.0	22423.0	0.0	0.00011065	0.027668	90.0	3.0	0.79266	1.0	1.0	22477.0	0.0	9.0193e-06	0.007249	28.0	3.0	-0.1566118705589024	nonsurface
TMEM199	147007	P1P2	3	0.7716	1.2825	0.0	0.0	3	0.78462	1.0665	0.00049268	0.044715	0.76255	1.0365	0.0021947	0.14583	1.1169	1.0	1.0	22503.0	0.0	2.1998e-07	0.000236	2.0	3.0	1.1224	1.0	1.0	22501.0	0.0	2.1998e-07	0.000825	4.0	3.0	-0.6085955793293277	nonsurface
TPT1	7178	P1P2	3	0.95527	1.1552	0.0	0.0	3	0.96585	1.0232	0.00022394	0.026455	0.94747	1.0037	0.00089578	0.082988	1.3552	1.0	1.0	22496.0	0.0	2.1998e-07	0.000236	9.0	3.0	1.4404	1.0	1.0	22498.0	0.0	6.5995e-07	0.001856	7.0	3.0	-1.3256466750333753	
TSEN15	116461	P1P2	3	0.68103	1.3516	0.0	0.0	3	0.69016	0.41217	0.00067183	0.052083	0.67998	0.40609	0.0030904	0.1725	0.97009	1.0	1.0	22473.0	0.0	1.9798e-06	0.00131	33.0	3.0	0.96948	1.0	1.0	22485.0	0.0	3.7397e-06	0.004208	20.0	3.0	0.1006299749893539	
TSEN2	80746	P1P2	3	0.70878	1.329	0.0	0.0	3	0.69779	1.1437	0.00062704	0.049822	0.7262	1.1902	0.002553	0.16147	0.95214	1.0	1.0	22457.0	0.0	1.3419e-05	0.005807	52.0	3.0	0.98613	1.0	1.0	22469.0	0.0	1.6059e-05	0.009767	36.0	3.0	-0.6102089149500073	
