Gene,MLE_beta,MLE_z,absz,MLE_fdr,rra_maxfdr,B_lfc,C_lfc,tier,origin,DepMap,surface,program,program_evidence,likely_general
JAK3,-0.69607,-2.3459,2.3459,0.093361,0.031583,-0.89665,-1.2807,T1-core,new,-0.2346378578419395,False,GPI-anchor & glycan surface display,glycoprotein biosynthetic,False
TRPT1,-0.71386,-2.3274,2.3274,0.076577,0.046009,-1.2572,-1.1837,T1-core,new,-0.1757924865044098,False,Spliceosome / RNA processing (likely general),rna splic,True
NDP,-0.43105,-2.3174,2.3174,0.36862,0.013551,-0.74429,-0.49032,T1-core,new,0.0754266468359156,False,Cytokine / GPCR / surface receptor signaling,cytokine,False
KCTD10,-0.41736,-2.3072,2.3072,0.38857,0.026022,-0.78033,-0.55453,T1-core,new,-0.548683378438441,False,Ubiquitin–proteasome / protein degradation,ubiquitin-protein transferase,False
WDR44,-0.51375,-2.3037,2.3037,0.25241,0.005806,-0.86482,-0.68633,T1-core,new,0.0619797997785875,False,Other / unclear,no keyword match,True
RASGEF1B,-0.42011,-2.2851,2.2851,0.38561,0.040099,-0.53958,-0.63854,T1-core,new,0.011620627085937,False,Actin & Rho signaling,small gtpase-mediated,False
NKX2-6,-0.56706,-2.1939,2.1939,0.19503,0.00389,-1.0585,-0.55589,T1-core,new,,False,Transcription / chromatin (likely general),transcription by rna pol,True
METTL5,-0.28451,-2.188,2.188,0.63465,0.037547,-0.41293,-0.35915,T1-core,new,-0.3117763895265179,False,Spliceosome / RNA processing (likely general),rna processing,True
CEP112,-0.40294,-2.1563,2.1563,0.39786,0.03231,-0.79072,-0.52275,T1-core,new,0.2159632821701944,False,Other / unclear,no keyword match,True
TSPEAR,-0.36266,-2.1473,2.1473,0.47564,0.014109,-0.63826,-0.4215,T1-core,new,0.0843737037396568,False,Other / unclear,no keyword match,True
SCAI,-0.33822,-1.9829,1.9829,0.51676,0.044171,-0.43706,-0.59401,T1-core,new,-0.277681770803798,False,Actin & Rho signaling,rho protein signal,False
GTF3A,-1.4139,-1.9289,1.9289,0.0,0.010084,-1.9533,-1.907,T1-core,new,-0.6884187843936718,False,Transcription / chromatin (likely general),transcription by rna pol,True
SMARCE1,1.1414,1.0125,1.0125,0.0,0.005522,1.3694,1.6798,T1-core,new,-0.4779289323297921,False,Transcription / chromatin (likely general),transcription by rna pol,True
SMARCC1,1.0681,1.0535,1.0535,0.0,0.000825,1.2355,1.5643,T1-core,new,-0.0141638332825373,False,Transcription / chromatin (likely general),transcription by rna pol,True
WDR7,0.99839,1.104,1.104,0.0,0.00225,1.1724,1.3316,T1-core,new,-0.912215232394064,False,Other / unclear,no keyword match,True
LARS,0.95503,1.115,1.115,0.0,0.044184,1.3371,1.5327,T1-core,new,-1.512657067874306,False,Other / unclear,no keyword match,True
AGO3,0.96133,1.1349,1.1349,0.0,0.009173,1.5021,1.4455,T1-core,new,-0.1539103770214458,False,Spliceosome / RNA processing (likely general),rna processing,True
ARPC4,0.9327,1.1488,1.1488,0.0,0.029636,1.4285,1.1951,T1-core,new,-0.4557093099980248,False,Actin & Rho signaling,actin filament,False
TPT1,0.95527,1.1552,1.1552,0.0,0.001856,1.3552,1.4404,T1-core,new,-1.3256466750333753,False,Other / unclear,no keyword match,True
